Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318068,2020-10-07 15:57:47,Y,Call Resolution,Yes
80,318068,2020-10-07 15:57:47,Y,Customer Satisfaction,Completely
80,318068,2020-10-07 15:57:47,Y,Net Promoter Score,Yes
80,318068,2020-10-07 15:57:47,Y,Source of Number,Broker
80,318130,2020-10-07 10:13:41,Y,Call Resolution,No
80,318130,2020-10-07 10:13:41,Y,Commit Call Back,Yes
80,318130,2020-10-07 10:13:41,Y,Customer Satisfaction,Completely
80,318130,2020-10-07 10:13:41,Y,Net Promoter Score,Yes
80,318130,2020-10-07 10:13:41,Y,Same Issue,No
80,318130,2020-10-07 10:13:41,Y,Source of Number,Get Cov NJ
80,318073,2020-10-07 10:41:46,,Call Resolution,Yes
80,318130,2020-10-07 12:40:24,Y,Call Resolution,Yes
80,318130,2020-10-07 12:40:24,Y,Customer Satisfaction,Mostly
80,318130,2020-10-07 12:40:24,Y,Net Promoter Score,Yes
80,318130,2020-10-07 12:40:24,Y,Source of Number,Other
80,318002,2020-10-07 12:42:24,Y,Call Resolution,No
80,318002,2020-10-07 12:42:24,Y,Commit Call Back,No
80,318002,2020-10-07 12:42:24,Y,Customer Satisfaction,Completely Dis
80,318002,2020-10-07 12:42:24,Y,Dissatisfied Reason,Repeat
80,318002,2020-10-07 12:42:24,Y,Net Promoter Score,No
80,318002,2020-10-07 12:42:24,Y,Same Issue,Yes
80,318002,2020-10-07 12:42:24,Y,Source of Number,Get Cov NJ
80,319765,2020-10-07 14:24:48,Y,Call Resolution,Yes
80,319765,2020-10-07 14:24:48,Y,Customer Satisfaction,Mostly
80,319765,2020-10-07 14:24:48,Y,Net Promoter Score,Yes
80,319765,2020-10-07 14:24:48,Y,Source of Number,Get Cov NJ
