Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318074,2020-10-09 15:48:54,Y,Call Resolution,No Response
80,318074,2020-10-09 15:48:54,Y,Customer Satisfaction,Completely
80,318074,2020-10-09 15:48:54,Y,Net Promoter Score,No
80,318074,2020-10-09 15:48:54,Y,Source of Number,Get Cov NJ
80,318002,2020-10-09 10:12:30,Y,Call Resolution,Yes
80,318002,2020-10-09 10:12:30,Y,Customer Satisfaction,Completely
80,318002,2020-10-09 10:12:30,Y,Net Promoter Score,Yes
80,318002,2020-10-09 10:12:30,Y,Source of Number,Get Cov NJ
80,318085,2020-10-09 10:38:39,Y,Call Resolution,Yes
80,318085,2020-10-09 10:38:39,Y,Customer Satisfaction,Completely
80,318085,2020-10-09 10:38:39,Y,Net Promoter Score,Yes
80,318085,2020-10-09 10:38:39,Y,Source of Number,Get Cov NJ
80,318002,2020-10-09 10:58:51,Y,Call Resolution,Yes
80,318002,2020-10-09 10:58:51,Y,Customer Satisfaction,Completely
80,318002,2020-10-09 10:58:51,Y,Net Promoter Score,Yes
80,318002,2020-10-09 10:58:51,Y,Source of Number,Get Cov NJ
80,318076,2020-10-09 11:18:32,Y,Call Resolution,Yes
80,318076,2020-10-09 11:18:32,Y,Customer Satisfaction,Completely
80,318076,2020-10-09 11:18:32,Y,Net Promoter Score,Yes
80,318076,2020-10-09 11:18:32,Y,Source of Number,Get Cov NJ
80,3180601,2020-10-09 11:38:26,Y,Call Resolution,Yes
80,3180601,2020-10-09 11:38:26,Y,Customer Satisfaction,Completely
80,3180601,2020-10-09 11:38:26,Y,Net Promoter Score,Yes
80,3180601,2020-10-09 11:38:26,Y,Source of Number,Get Cov NJ
80,318074,2020-10-09 14:50:13,Y,Call Resolution,Yes
80,318074,2020-10-09 14:50:13,Y,Customer Satisfaction,Completely
80,318074,2020-10-09 14:50:13,Y,Net Promoter Score,Yes
80,318074,2020-10-09 14:50:13,Y,Source of Number,Get Cov NJ
80,319765,2020-10-09 15:01:25,Y,Call Resolution,Yes
80,319765,2020-10-09 15:01:25,Y,Customer Satisfaction,Completely
80,319765,2020-10-09 15:01:25,Y,Net Promoter Score,Yes
80,319765,2020-10-09 15:01:25,Y,Source of Number,Get Cov NJ
