Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318064,2020-10-05 12:27:15,Y,Call Resolution,Yes
80,318064,2020-10-05 12:27:15,Y,Customer Satisfaction,Completely
80,318064,2020-10-05 12:27:15,Y,Net Promoter Score,Yes
80,318064,2020-10-05 12:27:15,Y,Source of Number,Get Cov NJ
80,318073,2020-10-05 12:41:23,Y,Call Resolution,Yes
80,318073,2020-10-05 12:41:23,Y,Customer Satisfaction,Completely
80,318073,2020-10-05 12:41:23,Y,Net Promoter Score,Yes
80,318073,2020-10-05 12:41:23,Y,Source of Number,Get Cov NJ
80,318002,2020-10-05 14:47:04,,Call Resolution,Some
80,318002,2020-10-05 14:47:04,,Commit Call Back,No
80,318002,2020-10-05 14:47:04,,Same Issue,No
80,318002,2020-10-05 14:47:04,,Customer Satisfaction,Mostly
80,318002,2020-10-05 14:47:04,,Net Promoter Score,Yes
80,318060,2020-10-05 16:48:34,Y,Call Resolution,Yes
80,318060,2020-10-05 16:48:34,Y,Customer Satisfaction,Completely
80,318060,2020-10-05 16:48:34,Y,Net Promoter Score,Yes
80,318060,2020-10-05 16:48:34,Y,Source of Number,Get Cov NJ
