"DBDateTime","AppName","ElementName",Count
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","1SiteMenuClosed",3
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","1SiteMenuOpen",115
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","2SiteMenuClosed",2
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","2SiteMenuOpen",36
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","3rdDOBAttempt",67
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","3rdDOBAttempt2",54
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","3rdSSNCINAttempt",102
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","3SiteMenuOpen",13
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","4SiteMenuOpen",1
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","5SiteMenuOpen",1
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_1",1636
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_10",107
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_12",57
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_14",83
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_15",34
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_16",200
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_17",133
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_18",275
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_2",135
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_20",59
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_21",81
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_22",171
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_23",3882
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_24",13
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_3",289
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_4",587
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_5",125
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_6",93
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_7",127
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","AfterHours_9",464
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","APM_ENG",4946
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","APM_OTHER",270
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","APM_SPA",608
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaliZipCode",243
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.3rdDOBAttempt",160
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.3rdSSNCINAttempt",159
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.AfterHours_1",22
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.AfterHours_2",24
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.CaptureSSNDOB",839
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.CARC_FLG_CSR_SSN",22
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.DOBCount",160
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.DOBValid",791
"2018-04-27 00:00:00.0000000","CARC_CHCO_MENU_NEW_02_18","CaptureSSNDOB.EmailAlert2",1
