CallTypeID	CustomerDefinitionID	EnterpriseName	Description	ServiceLevelThreshold	ServiceLevelType	Deleted	BucketIntervalID	ChangeStamp
5073	NULL	IEES_211_EN_IRAGENT	Calls for IEES 211 English Default until we can transfer to I&R	NULL	0	N	NULL	2
5074	NULL	IEES_211_EN_NOSSN	Calls for IEES 211 English Default	NULL	0	N	NULL	2
5075	NULL	IEES_211_SP_IRAGENT	IEES 211 Default for callers who choose Spanish until we can transfer to I&R	NULL	0	N	NULL	2
5076	NULL	IEES_211_SP_NOSSN	Calls for IEES 211 Spanish Default	NULL	0	N	NULL	2
5077	NULL	CHIP_OUTBOUND_ENRL_EN	CHIP Outbound English Enrollment calls	NULL	0	N	NULL	5
5078	NULL	CHIP_OUTBOUND_ENRL_SP	CHIP Outbound Spanish Enrollment calls	NULL	0	N	NULL	8
5079	NULL	CHIP_OUTBOUND_MixedMI_EN	CHIP Outbound Mixed Missing Information English	NULL	0	N	NULL	10
5080	NULL	CHIP_OUTBOUND_MixedMI_SP	CHIP Outbound Mixed Missing Information Spanish	NULL	0	N	NULL	7
5081	NULL	CHIP_OUTBOUND_PhoneMi_EN	CHIP Outbound English calls to clients with Missing information	NULL	0	N	NULL	10
5082	NULL	CHIP_OUTBOUND_PhoneMi_SP	CHIP Outbound Spanish calls to clients with Missing information	NULL	0	N	NULL	10
5083	NULL	IEES_211_INB_CHIP	IEES 211 Inbound calls routed to CHIP	NULL	0	N	NULL	2
5084	NULL	IEES_211_INB_EBS	IEES 211 Inbound calls routed to EBS	NULL	0	N	NULL	2
5085	NULL	IEES_211_INB_IEE	IEES 211 inbound calls routed to IEE	NULL	0	N	NULL	2
5086	NULL	IEES_211_INB_THS	IEES 211 inbound calls routed to THS	NULL	0	N	NULL	2
5087	NULL	IEES_211_INB_EN_SEU_Q	IEES 211 Inbound callers choose English and are sent to the Special Escalation Unit Queue	NULL	0	N	5000	4
5088	NULL	IEES_211_INB_EN_Q	IEES 211 Inbound callers are sent to the English Queue	NULL	0	N	5000	4
5089	NULL	IEES_211_INB_REDIRECT	ES caller chooses option 9 from IVR to go back to 211 main menu	NULL	0	N	NULL	2
5090	NULL	IEES_211_INB_SP_SEU_Q	IEES 211 inbound calls for Spanish Special Escalation Unit queue	NULL	0	N	5000	5
5091	NULL	IEES_211_INB_SP_Q	IEES 211 Inbound callers are sent to the Spanish Queue	NULL	0	N	5000	4
5092	NULL	CHIP_INB_END_SS	Depricated - Inbound CHIP callers who choose the Self Service option	NULL	0	N	NULL	6
5093	NULL	CHIP_INB_EN_ELIGI_Q	Inbound CHIP callers choose English and are sent to the Eligibility Queue	NULL	0	N	NULL	3
5094	NULL	CHIP_INB_EN_ENROLL_Q	CHIP Inbound callers choose English and are sent to the Enrollment Queue	NULL	0	N	NULL	3
5095	NULL	CHIP_INB_EN_PERI_Q	CHIP Inbound callers choose English and are sent to the Perinatal Queue	NULL	0	N	NULL	4
5096	NULL	CHIP_INB_EN_SKIP_Q	CHIP Inbound callers choose English and are sent to the State Kids Insurance Program Queue	NULL	0	N	NULL	3
5097	NULL	CHIP_INB_EN_VM	CHIP Inbound callers who select English and are sent to Voice Mail	NULL	0	N	NULL	3
5098	NULL	CHIP_INB_ERROR	CHIP Inbound Application Error	NULL	0	N	NULL	2
5099	NULL	CHIP_INB_IVR_APP	CHIP Inbound calls going into the IVR	NULL	0	N	NULL	3
5100	NULL	CHIP_INB_Rotary	Depricated - CHIP Callers for the Rotary	NULL	0	N	NULL	3
5101	NULL	CHIP_INB_SP_ELIG_Q	CHIP Inbound callers choose Spanish and are sent to the Eligibility Queue	NULL	0	N	NULL	3
5102	NULL	CHIP_INB_SP_ENROLL_Q	CHIP Inbound callers choose Spanish and are sent to the Enrollment Queue	NULL	0	N	NULL	3
5103	NULL	CHIP_INB_SP_PERI_Q	CHIP Inbound callers choose Spanish and are sent to the Perinatal Queue	NULL	0	N	NULL	4
5104	NULL	CHIP_INB_SP_SKIP_Q	CHIP Inbound callers choose Spanish and are sent to the State Kids Insurance Program Queue	NULL	0	N	NULL	3
5105	NULL	CHIP_INB_SP_VM	CHIP Inbound callers who select Spanish and are sent to Voicemail	NULL	0	N	NULL	4
5106	NULL	IEES_211_EN_BENSTAT_SS	Callers choose English and exit Benefit self service	NULL	0	N	NULL	2
5107	NULL	IEES_211_SP_BENSTAT_SS	Callers choose Spanish but exit BENEFIT self services	NULL	0	N	NULL	2
5108	NULL	IEES_211_EN_APPLSTAT_SS	IEES 211 Inbound English callers choose English and exit application status	NULL	0	N	NULL	2
5109	NULL	IEES_211_SP_APPLSTAT_SS	IEES 211 Inbound callers choose Spanish but exit Application status	NULL	0	N	NULL	2
5110	NULL	IEES_211_EN_APMTSTAT_SS	Callers choose English and exit appointment status self service	NULL	0	N	NULL	2
5111	NULL	IEES_211_SP_APMTSTAT_SS	Inbound callers choose Spanish but exit appointment status self service	NULL	0	N	NULL	2
5112	NULL	IEES_211_EN_IDSEARCH_SS	Callers choose English and enter ID search self service	NULL	0	N	NULL	2
5113	NULL	IEES_211_SP_IDSEARCH_SS	Callers choose Spanish and enter ID Search self service	NULL	0	N	NULL	2
5114	NULL	IEES_211_EN_WOHEALTH	Callers who choose English inquiring Women's Health Self Service - Call is then sent to State WHP	NULL	0	N	NULL	4
5115	NULL	IEES_211_SP_WOHEALTH	Callers who choose Spanish inquiring Women's Health Self Service - Call is then sent to State WHP	NULL	0	N	NULL	4
5116	NULL	IEES_211_EN_NONTIERS	Callers for IEES 211 who choose English in NONTIERS area	NULL	0	N	NULL	2
5117	NULL	IEES_211_EN_TIERS	IEES 211 callers who choose English in the TIERS area	NULL	0	N	NULL	3
5118	NULL	IEES_211_SP_NONTIERS	Callers for IEES 211 who choose Spanish in NONTIERS area	NULL	0	N	NULL	2
5119	NULL	IEES_211_SP_TIERS	IEES 211 callers who choose Spanish in the TIERS area	NULL	0	N	NULL	3
5120	NULL	IEES_211_NOTSERV	Callers in the NONTIER menu and not serviced in the New Eligibility system.  Same treatment as REDIRECT (211 menu)	NULL	0	N	NULL	2
5121	NULL	IEES_211_END_SS	IEES 211 Self Serviced calls	NULL	0	N	NULL	2
5122	NULL	CHIP_INB_DN_2103046768	Shows channel utilization for (210)304-6768	NULL	0	N	NULL	3
5123	NULL	CHIP_INB_DN_5125333498	Shows channel utilization for (512)533-3498	NULL	0	N	NULL	2
5124	NULL	CHIP_INB_DN_5125335093	Shows channel utilization for test number (512)533-5093	NULL	0	N	NULL	2
5125	NULL	CHIP_INB_DN_8006441917	Shows channel utilization for (800)644-1917	NULL	0	N	NULL	2
5126	NULL	CHIP_INB_DN_8006476558	Shows channel utilization for (800)647-6558	NULL	0	N	NULL	2
5127	NULL	CHIP_INB_DN_8667788538	Shows channel utilization for (866)778-8538	NULL	0	N	NULL	3
5128	NULL	CHIP_INB_DN_8667788539	Shows channel utilization for (866)778-8539	NULL	0	N	NULL	2
5129	NULL	CHIP_INB_DN_Default	Incoming call from a CHIP dialed number	NULL	0	N	NULL	2
5130	NULL	CHIP_INBOUND_TEST	CHIP INBOUND TEST scripts	NULL	0	N	NULL	78
5131	NULL	CHIP_INB_DEFAULT	CHIP caller who enters the Inbound Default Route	NULL	0	N	NULL	2
5132	NULL	THS_INB_DEFAULT	Calls for THS Inbound that go to default	NULL	0	N	NULL	2
5133	NULL	THS_INB_DN_5125335091	Shows channel utilization for test dialed number (512)533-5091	NULL	0	N	NULL	2
5134	NULL	THS_INB_DN_8667788537	Shows channel utilization for (866)778-8537	NULL	0	N	NULL	2
5135	NULL	THS_INB_DN_8778478377	Shows channel utilization for (877)847-8377	NULL	0	N	NULL	2
5136	NULL	DN_8882850808	Shows channel utilization for (888) 285-0808. Assigned to CHIP Outreach	NULL	0	N	NULL	6
5137	NULL	THS_INB_DN_DEFAULT	Incoming THS calls for default dialed number - number not monitored for channel utilization	NULL	0	N	NULL	2
5138	NULL	THS_INB_IVR_APP	THS inbound calls in the IVR Application	NULL	0	N	NULL	3
5139	NULL	EBS_INB_DN_5125335090	Shows channel utilization for (512)533-5090	NULL	0	N	NULL	2
5140	NULL	EBS_INB_DN_8009642777	Shows channel utilization for (800)964-2777	NULL	0	N	NULL	2
5141	NULL	EBS_INB_DN_8666131134	Shows channel utilization for (866)613-1134	NULL	0	N	NULL	2
5142	NULL	EBS_INB_DN_8667788536	Shows channel utilization for (866)778-8536	NULL	0	N	NULL	2
5143	NULL	EBS_INB_DN_8884850808	Shows channel utilization for (888)485-0808	NULL	0	N	NULL	2
5144	NULL	EBS_INB_IVR_APP	EBS call type for inbound IVR call stats	NULL	0	N	NULL	4
5145	NULL	EBS_INB_EN_Q	EBS inbound callers are sent to the English queue	NULL	0	N	NULL	3
5146	NULL	EBS_INB_SP_Q	EBS callers are sent to the Spanish queue	NULL	0	N	NULL	3
5147	NULL	EBS_INB_OUTREACH_Q	EBS callers choose English and are sent to the Outreach queue	NULL	0	N	NULL	2
5148	NULL	EBS_INB_END_SS	EB - Inbound EBS callers who choose the Self Service option	NULL	0	N	NULL	4
5149	NULL	EBS_INB_EN_VM	CHIP Inbound callers who select English and are sent to Voicemail	NULL	0	N	NULL	6
5150	NULL	EBS_INB_Default	EBS call type for inbound calls with IVR application errors	NULL	0	N	NULL	2
5151	NULL	EBS_INB_EXT	EBS call type for inbound extension calls	NULL	0	N	NULL	1
5152	NULL	EBS_INB_FW_Rotary	Incoming calls for EBS Inbound Rotary	NULL	0	N	NULL	3
5153	NULL	EBS_INB_SP_VM	EBS callers who choose Spanish and inbound voicemail	NULL	0	N	NULL	4
5154	NULL	IEES_211_EN_CASE	Calls for 211 calls where caller selects the English option	NULL	0	N	NULL	2
5155	NULL	IEES_211_SP_CASE	IEE 211 calls where callers select the Spanish and Case options	NULL	0	N	NULL	2
5156	NULL	TXH_INB_DN_5125335092	TXH call type for inbound dn 5125335092	NULL	0	N	NULL	1
5157	NULL	TXH_INB_DN_8665668989	TXH call type for inbound dn 8665668989	NULL	0	N	NULL	1
5158	NULL	TXH_INB_EN_TXHEART_Q	TXH call type for inbound ENG TX Heart queue	NULL	0	N	NULL	1
5159	NULL	TXH_INB_EN_TXHEART_VM	TXH call type for inbound English TX Heart Voicemail	NULL	0	N	NULL	1
5160	NULL	TXH_INB_SP_TXHEART_Q	TXH call type for inbound Spanish TX Heart queue	NULL	0	N	NULL	1
5161	NULL	TXH_INB_SP_TXHEART_VM	TXH call type for inbound Spanish TX Heart voicemail	NULL	0	N	NULL	1
5162	NULL	TXH_INB_IVR_APP	TXH call type for inbound calls routed to IVR	NULL	0	N	NULL	2
5163	NULL	TXH_INB_DN_DEFAULT	TXH call type for inbound default DNs	NULL	0	N	NULL	2
5164	NULL	TXH_INBOUND_TEST	TXH inbound application call type for testing	NULL	0	N	NULL	21
5165	NULL	TDD_INB_TOTAL	Total TDD inbound calls - which contains total TDD direct inbound calls	NULL	0	N	NULL	3
5166	NULL	IEES_211_TDD	IEES 211 customers who select TDD option	NULL	0	N	NULL	1
5167	NULL	TDD_INB_DN_8002675008	Shows channel utilization for (800)267-5008	NULL	0	N	NULL	2
5168	NULL	TDD_INB_DN_8662224306	Shows channel utilization for (866)222-4306	NULL	0	N	NULL	2
5169	NULL	TDD_INB_DN_DEFAULT	Incoming dialed number for TDD Inbound Default	NULL	0	N	NULL	2
5170	NULL	IEES_211_Disaster_Overflow	Calls for IEE 211 Disaster Overflow	NULL	0	N	NULL	2
5171	NULL	Disaster_Overflow_Test	Test call type for Disaster Recovery testing	NULL	0	N	NULL	3
5172	NULL	IEES_211_EN_EXPEDI_BEN	Calls for 211 Expedite Benefits	NULL	0	N	NULL	3
5173	NULL	IEES_211_EN_FOOD_STAMP	Calls for 211 where callers select English and Food Stamps options	NULL	0	N	NULL	2
5174	NULL	IEES_211_EN_LT_CARE	Callers who select English and Long Term Care options	NULL	0	N	NULL	2
5175	NULL	IEES_211_EN_MED_ELIG	Callers who select English and Medicaid Eligibility	NULL	0	N	NULL	2
5176	NULL	IEES_211_EN_MED_SAV	Callers who select English and Medicare Saving	NULL	0	N	NULL	2
5177	NULL	IEES_211_EN_SEU	Callers who choose English and Special Escalation Unit	NULL	0	N	NULL	4
5178	NULL	IEES_211_EN_TANF	Callers who select English and Texas Assistance for Needy Families options	NULL	0	N	NULL	2
5179	NULL	IEES_211_SP_EXPEDI_BEN	Callers who choose the Spanish and  Expedite Benefit options	NULL	0	N	NULL	3
5180	NULL	IEES_211_SP_FOOD_STAMP	Callers who choose the Spanish and  Food Stamp options	NULL	0	N	NULL	2
5181	NULL	IEES_211_SP_LT_CARE	Callers who choose the Spanish and Long Term Care options	NULL	0	N	NULL	2
5182	NULL	IEES_211_SP_MED_ELIG	Callers who choose the Spanish and Medicaid Eligibility options	NULL	0	N	NULL	2
5183	NULL	IEES_211_SP_MED_SAV	Callers who choose the Spanish and Medicare Saving options	NULL	0	N	NULL	2
5184	NULL	IEES_211_SP_SEU	Callers who choose the Spanish and  Special Escalation Unit options	NULL	0	N	NULL	3
5185	NULL	IEES_211_SP_TANF	Callers who select Spanish and Texas Assistance for Needy Families options	NULL	0	N	NULL	2
5186	NULL	THS_INBOUND_TEST	call type for THS_INBOUND_TEST app	NULL	0	N	NULL	3
5187	NULL	EBS_INBOUND_TEST	call type for EBS INBOUND TEST	NULL	0	N	NULL	3
5188	NULL	EBS_INB_PROVIDER_Q	EB Inbound callers choose English and are sent to the Provider Queue	NULL	0	N	NULL	3
5189	NULL	EBS_INB_DN_Default	Incoming dialed number for an EBS Inbound Default	NULL	0	N	NULL	2
5190	NULL	EBS_INB_EN_OTHER_PROG	"caller other than START, NSTAR, TP40, ..."	NULL	0	N	NULL	2
5191	NULL	EBS_INB_LANG	Callers have trouble picking a language	NULL	0	N	NULL	3
5192	NULL	EBS_INB_SP_OTHER_PROG	"caller not START, NSTAR, TP40, ..."	NULL	0	N	NULL	2
5193	NULL	CHIP_INB_Rotary_ELIGIBILITY	Depricated - CHIP ELIGIBILITY caller but did not enter a Language or is a Rotary caller	NULL	0	N	NULL	2
5194	NULL	CHIP_INB_Rotary_ENROLL	Depricated - CHIP Enroller but did not enter a Language or is a Rotary caller	NULL	0	N	NULL	2
5195	NULL	CHIP_PROVIDER_INB_DN_8006457164	Inbound dialed number for CHIP Provider Application	NULL	0	N	NULL	2
5196	NULL	CHIP_PROVIDER_INB_DN_DEFAULT	Inbound dialed number for CHIP Provider Default	NULL	0	N	NULL	2
5197	NULL	CHIP_INB_PROVIDER_Q	CHIP PROVIDER Inbound Queue	NULL	0	N	NULL	3
5198	NULL	CHIP_INB_PROVIDER_IVR_APP	call type for CHIP PROVIDER Inbound IVR app	NULL	0	N	NULL	2
5199	NULL	TXHeart_INB_EN_RX	call type for TXHeart Inbound En Prescriptions Menu	NULL	0	N	NULL	1
5200	NULL	TXHeart_INB_SP_RX	call type for TXHeart Inbound Spanish Prescriptions Menu	NULL	0	N	NULL	1
5201	NULL	TXHeart_INB_EN	Goes to an EN Agent from the Main Menu	NULL	0	N	NULL	1
5202	NULL	TXHeart_INB_SP	Goes to a SP Agent from the Main Menu	NULL	0	N	NULL	1
5203	NULL	TXHeart_INB_Rotary	"Caller either doesnt choose a language, or doesnt choose correctly"	NULL	0	N	NULL	1
5204	NULL	EBS_INB_EN_NSTAR	Callers choose English and indicate they are a member of North STAR	NULL	0	N	NULL	3
5205	NULL	EBS_INB_EN_STAR	Callers choose English and indicate they are a member of STAR	NULL	0	N	NULL	3
5206	NULL	EBS_INB_EN_STARPLUS	Callers choose English and indicate they are a member of STARPLUS	NULL	0	N	NULL	3
5207	NULL	EBS_INB_EN_TP40	Callers choose English and indicate they are a member of TP40	NULL	0	N	NULL	4
5208	NULL	EBS_INB_SP_NSTAR	Callers choose Spanish and indicate Spanish and indicates they are a member of North STAR	NULL	0	N	NULL	3
5209	NULL	EBS_INB_SP_STAR	Callers choose Spanish and indicate they are a member of STAR	NULL	0	N	NULL	3
5210	NULL	EBS_INB_SP_STARPLUS	Callers choose Spanish and indicate they are a member of STARPLUS	NULL	0	N	NULL	3
5211	NULL	EBS_INB_SP_TP40	Callers choose Spanish and indicate they are a member of TP40	NULL	0	N	NULL	3
5212	NULL	ST_XFER_ARTS_Q	Inbound State calls are sent to the ARTS Queue	NULL	0	N	NULL	3
5213	NULL	ST_XFER_ME_SR_Q	Inbound State calls are sent to the ME Special Research Queue	NULL	0	N	NULL	3
5214	NULL	ST_XFER_REFUGEE_Q	Inbound State calls are sent to the Refugee Queue	NULL	0	N	NULL	3
5215	NULL	ST_XFER_TW_SR_Q	Inbound State calls are sent to the Texas Works Special Research Queue	NULL	0	N	NULL	3
5216	NULL	TXH_INB_DEFAULT	THX calls that fail VRU script	NULL	0	N	NULL	2
5217	NULL	zz_ICM_Floating_Test1	Test call type for testing various scripts. CT Floats between scripts under development.	NULL	0	N	NULL	461
5218	NULL	TSG_INBOUND	Technology Support Goup Inbound number	NULL	0	N	NULL	3
5219	NULL	TSG_TIRN_Q	TSG TIRN - Call sent to queue	NULL	0	N	NULL	2
5220	NULL	TSG_TIRN_XferOut_Emergnecy	TSG TIRN - Calls that were xfered out because of emergency routing	NULL	0	N	NULL	1
5221	NULL	TSG_TIRN_XferOut_NoAgent	TSG TIRN - Calls that xfered out becuase no agent was logged in	NULL	0	N	NULL	1
5222	NULL	TSG_TIRN_SG	TSG TIRN - Total calls that were sent to the SG. May or may not have been queued.	NULL	0	N	NULL	2
5223	NULL	TSG_ESS_Q	TSG ESS - Call sent to queue	NULL	0	N	NULL	1
5224	NULL	TSG_ESS_SG	TSG ESS - Total calls that were sent to the SG. May or may not have been queued.	NULL	0	N	NULL	1
5225	NULL	TSG_ESS_XferOut_Emergnecy	TSG ESS - Calls that were xfered out because of emergency routing	NULL	0	N	NULL	1
5226	NULL	TSG_ESS_XferOut_NoAgent	TSG ESS - Calls that xfered out becuase no agent was logged in	NULL	0	N	NULL	1
5227	NULL	TXHeart_EN_DR	Texas Heart English Doctor	NULL	0	N	NULL	2
5228	NULL	TXHeart_EN_EBINFO	Texas Heart English EB Information	NULL	0	N	NULL	1
5229	NULL	TXHeart_EN_MEDICADE	Texas Heart English Medicade	NULL	0	N	NULL	1
5230	NULL	TXHeart_EN_MEDICARE	Texas Heart English Medicare	NULL	0	N	NULL	1
5231	NULL	TXHeart_SP_DR	Texas Heart Spanish Doctor	NULL	0	N	NULL	1
5232	NULL	TXHeart_SP_EBINFO	Texas Heart Spanish EB Information	NULL	0	N	NULL	1
5233	NULL	TXHeart_SP_MEDICADE	Texas Heart Spanish Medicade	NULL	0	N	NULL	1
5234	NULL	TXHeart_SP_MEDICARE	Texas Heart Spanish Medicare	NULL	0	N	NULL	1
5235	NULL	STATE_WHP_INBOUND	State Women's Health Program Inbound Calls	NULL	0	N	NULL	3
5236	NULL	STATE_WHP_After_HRS	State WHP that went to VM because it was after hours.	NULL	0	N	NULL	3
5237	NULL	STATE_WHP_Emergency_VM	State WHP calls that went to VM becuase of building emergenies.	NULL	0	N	NULL	1
5238	NULL	STWHP_INB_DISCO_QERR	State WHP Calls that went to VM because no agent was logged in.	NULL	0	N	NULL	2
5239	NULL	STWHP_INB_Q	Inbound State calls are sent to the Woman's Health Program Queue	NULL	0	N	NULL	3
5240	NULL	STATE_WHP_TRANSFER	19450 transfer to WHP queue	NULL	0	N	NULL	3
5241	NULL	CHIP_OUTBOUND_LANG_XFER	For CHIP Outbound calls that need to be xfered to Spanish speaking agent.	NULL	0	N	NULL	6
5242	NULL	CHIP_PT_OUTBOUND_LANG_XFER	For CHIP Program Technician Outbound calls that need to be transferred to Spanish speaking agent.	NULL	0	N	NULL	7
5243	NULL	IEES_211_INB_OTHER_LANG	Callers that choice other Language	NULL	0	N	NULL	1
5244	NULL	IEES_211_INB_NO_IVR_APP	"Callers that the IVR did not have a program to route to. Could have failed out of IVR or come in with a language other than ENG, SPN, or TDD."	NULL	0	N	NULL	2
5245	NULL	CHIP_OUTBOUND_LANG_XFER_Q	For CHIP Outbound calls transferred to outbound queue for Spanish that get queued.	NULL	0	N	NULL	5
5246	NULL	CHIP_PT_OUTBOUND_LANG_XFER_Q	For CHIP Outbound calls transferred to outbound queue for Spanish that get queued.	NULL	0	N	NULL	3
5247	NULL	CHIP_XFER_SUPERVISOR_GBL	CHIP Supervisor calls Global (escalation line)	NULL	0	N	NULL	8
5248	NULL	CHIP_XFER_SUPERVISOR_GBL_Q	CHIP Supervisor calls global (escalation line)	NULL	0	N	NULL	2
5249	NULL	EBS_INB_EN_HEALTH	Callers choose English and indicate they are a member of STAR HEALTH before being transferred to a CCR	NULL	0	N	NULL	2
5250	NULL	EBS_INB_EN_HEALTH_ADDR	Callers choose English and indicate they are a member of STAR HEALTH and choose the Address Change option	NULL	0	N	NULL	2
5251	NULL	EBS_INB_EN_HEALTH_MTP	EB - No Longer In Use - Callers choose English and indicate they are a member of STAR HEALTH and choose the MTP option	NULL	0	N	NULL	3
5252	NULL	EBS_INB_EN_HEALTH_OTHER	Callers choose English and indicate they are a member of STAR HEALTH and choose the OTHER opt	NULL	0	N	NULL	2
5253	NULL	EBS_INB_EN_HEALTH_PCP	Callers choose English and indicate they are a member of STAR HEALTH and choose the Health Plan Option /Primary Care Provider	NULL	0	N	NULL	2
5254	NULL	EBS_INB_EN_ICM	EB - No Longer In Use - Callers choose English and indicate they are a member of ICM before being transferred to a CCR	NULL	0	N	NULL	3
