Plan Start Date,Plan End Date,Unit of Work Name ,Day of Plan,Forecast Comp Vol ,Forecast Intake Vol ,Hours Assigned ,Hour of Plan,Avg Handle Time ,Min Handle Time ,Max Handle Time 
10/01/2018 , 10/14/2018 , NEW_APP , 1.000000 , 106.000000 , 80.000000 , 25.000000 , 0.000000 , 14.556758 , 8.319843 , 20.586254 
10/01/2018 , 10/14/2018 , NEW_APP , 2.000000 , 106.000000 , 144.000000 , 25.000000 , 0.000000 , 14.700960 , 8.303349 , 21.475077 
10/01/2018 , 10/14/2018 , NEW_APP , 3.000000 , 98.000000 , 49.000000 , 25.000000 , 0.000000 , 15.668553 , 9.341317 , 21.099398 
10/01/2018 , 10/14/2018 , NEW_APP , 4.000000 , 61.000000 , 58.000000 , 25.000000 , 0.000000 , 14.126960 , 8.711629 , 21.982189 
10/01/2018 , 10/14/2018 , NEW_APP , 5.000000 , 61.000000 , 61.000000 , 25.000000 , 0.000000 , 14.900443 , 7.827690 , 22.222848 
10/01/2018 , 10/14/2018 , NEW_APP , 6.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 7.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 8.000000 , 80.000000 , 80.000000 , 25.000000 , 0.000000 , 15.187403 , 8.074056 , 20.312691 
10/01/2018 , 10/14/2018 , NEW_APP , 9.000000 , 106.000000 , 144.000000 , 25.000000 , 0.000000 , 14.801631 , 8.368524 , 21.742727 
10/01/2018 , 10/14/2018 , NEW_APP , 10.000000 , 87.000000 , 49.000000 , 25.000000 , 0.000000 , 15.076611 , 8.311114 , 21.547233 
10/01/2018 , 10/14/2018 , NEW_APP , 11.000000 , 58.000000 , 58.000000 , 25.000000 , 0.000000 , 15.472393 , 8.165101 , 21.209848 
10/01/2018 , 10/14/2018 , NEW_APP , 12.000000 , 61.000000 , 61.000000 , 25.000000 , 0.000000 , 15.433443 , 8.318087 , 21.164423 
10/01/2018 , 10/14/2018 , NEW_APP , 13.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , NEW_APP , 14.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 1.000000 , 160.000000 , 110.000000 , 17.000000 , 0.000000 , 2.958955 , 1.579843 , 4.399459 
10/01/2018 , 10/14/2018 , PC_LCD , 2.000000 , 110.000000 , 110.000000 , 17.000000 , 0.000000 , 3.078127 , 1.631249 , 4.328192 
10/01/2018 , 10/14/2018 , PC_LCD , 3.000000 , 0.000000 , 120.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 4.000000 , 240.000000 , 110.000000 , 17.000000 , 0.000000 , 3.022658 , 1.779440 , 4.387971 
10/01/2018 , 10/14/2018 , PC_LCD , 5.000000 , 110.000000 , 130.000000 , 17.000000 , 0.000000 , 3.010954 , 1.771909 , 4.284576 
10/01/2018 , 10/14/2018 , PC_LCD , 6.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 7.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 8.000000 , 130.000000 , 110.000000 , 17.000000 , 0.000000 , 3.040241 , 1.529292 , 4.430100 
10/01/2018 , 10/14/2018 , PC_LCD , 9.000000 , 110.000000 , 110.000000 , 17.000000 , 0.000000 , 3.037195 , 1.631942 , 4.402443 
10/01/2018 , 10/14/2018 , PC_LCD , 10.000000 , 110.000000 , 120.000000 , 17.000000 , 0.000000 , 2.998663 , 1.627160 , 4.420709 
10/01/2018 , 10/14/2018 , PC_LCD , 11.000000 , 120.000000 , 110.000000 , 17.000000 , 0.000000 , 3.003863 , 1.683301 , 4.219512 
10/01/2018 , 10/14/2018 , PC_LCD , 12.000000 , 110.000000 , 130.000000 , 17.000000 , 0.000000 , 2.929779 , 1.529690 , 4.215650 
10/01/2018 , 10/14/2018 , PC_LCD , 13.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , PC_LCD , 14.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 1.000000 , 31.000000 , 50.000000 , 10.000000 , 0.000000 , 20.101183 , 10.807144 , 25.058893 
10/01/2018 , 10/14/2018 , APP_REVIEW , 2.000000 , 29.000000 , 55.000000 , 10.000000 , 0.000000 , 21.059157 , 12.679935 , 27.352628 
10/01/2018 , 10/14/2018 , APP_REVIEW , 3.000000 , 31.000000 , 45.000000 , 10.000000 , 0.000000 , 20.037848 , 11.978253 , 29.017368 
10/01/2018 , 10/14/2018 , APP_REVIEW , 4.000000 , 31.000000 , 40.000000 , 10.000000 , 0.000000 , 20.095881 , 11.848240 , 28.747590 
10/01/2018 , 10/14/2018 , APP_REVIEW , 5.000000 , 32.000000 , 40.000000 , 10.000000 , 0.000000 , 19.164828 , 11.178235 , 26.671702 
10/01/2018 , 10/14/2018 , APP_REVIEW , 6.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 7.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 8.000000 , 31.000000 , 50.000000 , 10.000000 , 0.000000 , 19.682789 , 12.913635 , 28.929934 
10/01/2018 , 10/14/2018 , APP_REVIEW , 9.000000 , 31.000000 , 55.000000 , 10.000000 , 0.000000 , 19.849950 , 12.853393 , 29.124279 
10/01/2018 , 10/14/2018 , APP_REVIEW , 10.000000 , 31.000000 , 45.000000 , 10.000000 , 0.000000 , 20.262997 , 11.100380 , 29.124808 
10/01/2018 , 10/14/2018 , APP_REVIEW , 11.000000 , 32.000000 , 40.000000 , 10.000000 , 0.000000 , 19.300778 , 11.578522 , 26.068226 
10/01/2018 , 10/14/2018 , APP_REVIEW , 12.000000 , 32.000000 , 40.000000 , 10.000000 , 0.000000 , 19.109425 , 10.794753 , 27.583364 
10/01/2018 , 10/14/2018 , APP_REVIEW , 13.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , APP_REVIEW , 14.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , EB_IVA , 1.000000 , 62.000000 , 20.000000 , 10.000000 , 0.000000 , 9.731284 , 5.511638 , 14.265007 
10/01/2018 , 10/14/2018 , EB_IVA , 2.000000 , 61.000000 , 25.000000 , 10.000000 , 0.000000 , 9.929486 , 5.847333 , 14.269936 
10/01/2018 , 10/14/2018 , EB_IVA , 3.000000 , 32.000000 , 30.000000 , 10.000000 , 0.000000 , 10.129522 , 5.657121 , 13.626416 
10/01/2018 , 10/14/2018 , EB_IVA , 4.000000 , 25.000000 , 25.000000 , 10.000000 , 0.000000 , 10.153850 , 6.817301 , 14.696647 
10/01/2018 , 10/14/2018 , EB_IVA , 5.000000 , 26.000000 , 26.000000 , 10.000000 , 0.000000 , 9.914425 , 5.304892 , 14.299342 
10/01/2018 , 10/14/2018 , EB_IVA , 6.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , EB_IVA , 7.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
10/01/2018 , 10/14/2018 , EB_IVA , 8.000000 , 20.000000 , 20.000000 , 10.000000 , 0.000000 , 9.797421 , 6.512059 , 13.743856 
10/01/2018 , 10/14/2018 , EB_IVA , 9.000000 , 25.000000 , 25.000000 , 10.000000 , 0.000000 , 9.627475 , 5.580125 , 13.849728 
10/01/2018 , 10/14/2018 , EB_IVA , 10.000000 , 30.000000 , 30.000000 , 10.000000 , 0.000000 , 10.091565 , 6.745485 , 13.712837 
10/01/2018 , 10/14/2018 , EB_IVA , 11.000000 , 25.000000 , 25.000000 , 10.000000 , 0.000000 , 9.210178 , 5.027822 , 13.310554 
10/01/2018 , 10/14/2018 , EB_IVA , 12.000000 , 26.000000 , 26.000000 , 10.000000 , 0.000000 , 10.137097 , 6.166100 , 13.954340 
10/01/2018 , 10/14/2018 , EB_IVA , 13.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
