PLAN_START_DATE,PLAN_END_DATE,UNIT_OF_WORK,SIM_DAY,TASKS_COMPLETED,TASKS_CREATED,ASSIGNED_HOURS,PLACEHOLDER,AHT,MIN_HT,MAX_HT
04/01/2019 , 04/29/2019 , DE_NEW_APP , 1.000000 , 252.000000 , 238.000000 , 29.000000 , 0.000000 , 0.117238 , 0.094575 , 0.138792 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 2.000000 , 253.000000 , 222.000000 , 29.000000 , 0.000000 , 0.116644 , 0.095070 , 0.138503 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 3.000000 , 242.000000 , 227.000000 , 28.000000 , 0.000000 , 0.116780 , 0.094186 , 0.137054 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 4.000000 , 225.000000 , 221.000000 , 26.000000 , 0.000000 , 0.116619 , 0.094211 , 0.137873 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 5.000000 , 216.000000 , 187.000000 , 25.000000 , 0.000000 , 0.117665 , 0.094865 , 0.138418 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 6.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 7.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 8.000000 , 253.000000 , 243.000000 , 29.000000 , 0.000000 , 0.116628 , 0.093716 , 0.138163 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 9.000000 , 252.000000 , 252.000000 , 29.000000 , 0.000000 , 0.116995 , 0.096458 , 0.136007 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 10.000000 , 243.000000 , 242.000000 , 28.000000 , 0.000000 , 0.115736 , 0.095757 , 0.138671 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 11.000000 , 227.000000 , 225.000000 , 26.000000 , 0.000000 , 0.116188 , 0.097634 , 0.136728 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 12.000000 , 216.000000 , 198.000000 , 25.000000 , 0.000000 , 0.117293 , 0.097184 , 0.137607 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 13.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 14.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 15.000000 , 251.000000 , 255.000000 , 29.000000 , 0.000000 , 0.116892 , 0.094721 , 0.136619 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 16.000000 , 249.000000 , 265.000000 , 29.000000 , 0.000000 , 0.118009 , 0.095928 , 0.138864 
04/01/2019 , 04/29/2019 , DE_NEW_APP , 17.000000 , 242.000000 , 225.000000 , 28.000000 , 0.000000 , 0.116818 , 0.094628 , 0.138047 
