PLAN_START_DATE,PLAN_END_DATE,UNIT_OF_WORK,SIM_DAY,TASKS_COMPLETED,TASKS_CREATED,ASSIGNED_HOURS,PLACEHOLDER,AHT,MIN_HT,MAX_HT
5/13/2019, 05/26/2019 , DE_NEW_APP ,1,251,255,29,0,0.116892,0.094721,0.136619
5/13/2019, 05/26/2019 , DE_NEW_APP ,2,249,265,29,0,0.118009,0.095928,0.138864
5/13/2019, 05/26/2019 , DE_NEW_APP ,3,242,225,28,0,0.116818,0.094628,0.138047
5/13/2019, 05/26/2019 , DE_NEW_APP ,4,225,218,26,0,0.116591,0.096638,0.138776
5/13/2019, 05/26/2019 , DE_NEW_APP ,5,220,189,25,0,0.116046,0.095068,0.138438
5/13/2019, 05/26/2019 , DE_NEW_APP ,6,0,0,0,0,0,0,0
5/13/2019, 05/26/2019 , DE_NEW_APP ,7,0,0,0,0,0,0,0
5/13/2019, 05/26/2019 , DE_NEW_APP ,8,251,233,29,0,0.117571,0.095752,0.138386
5/13/2019, 05/26/2019 , DE_NEW_APP ,9,255,243,29,0,0.11563,0.093501,0.136875
5/13/2019, 05/26/2019 , DE_NEW_APP ,10,239,242,28,0,0.117695,0.094368,0.137987
5/13/2019, 05/26/2019 , DE_NEW_APP ,11,223,227,26,0,0.117088,0.096004,0.138782
5/13/2019, 05/26/2019 , DE_NEW_APP ,12,219,220,25,0,0.116594,0.094929,0.137316
5/13/2019, 05/26/2019 , DE_NEW_APP ,13,0,0,0,0,0,0,0
5/13/2019, 05/26/2019 , DE_NEW_APP ,14,0,0,0,0,0,0,0
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,1,118,139,17,0,0.115624,0.095346,0.136897
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,2,145,142,17,0,0.114726,0.094412,0.138179
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,3,135,139,16,0,0.116971,0.09539,0.139008
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,4,132,130,15,0,0.116353,0.096419,0.138071
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,5,121,100,14,0,0.116558,0.096176,0.138243
5/13/2019, 05/26/2019 , DE_APP_RENEWAL ,6,0,0,0,0,0,0,0
